# POINT_X,POINT_Y,Min_temp_Jul_F,Max_temp_jul_F,Rainfall_jul_inch
461196.8188,1198890.052,47.77,58.53,0.76
436196.8188,1191890.052,47.93,58.60,0.83
445196.8188,1168890.052,47.93,58.30,0.74
450196.8188,1144890.052,48.97,56.91,0.66
329196.8188,1034890.052,49.26,59.86,0.78
359196.8188,1017890.052,49.39,58.95,0.70
338196.8188,1011890.052,49.28,58.73,0.74
321196.8188,981890.0521,48.20,61.41,0.72
296196.8188,974890.0521,48.07,61.27,0.78
299196.8188,972890.0521,48.07,61.41,0.78
324196.8188,972890.0521,48.20,-9999.00,0.72
274196.8188,968890.0521,47.86,60.94,0.83
275196.8188,968890.0521,47.86,61.27,0.83
248196.8188,961890.0521,46.22,58.98,1.43
252196.8188,961890.0521,46.22,60.94,1.43
152196.8188,960890.0521,48.81,-9999.00,1.08
148196.8188,959890.0521,48.81,59.43,1.08
325196.8188,957890.0521,48.20,61.36,0.72
326196.8188,957890.0521,47.44,61.36,0.80
328196.8188,957890.0521,47.44,-9999.00,0.80
227196.8188,955890.0521,48.27,59.43,1.44
228196.8188,955890.0521,48.27,58.98,1.44
126196.8188,953890.0521,49.24,59.40,1.14
128196.8188,953890.0521,49.24,59.43,1.14
304196.8188,951890.0521,48.07,60.87,0.78
305196.8188,951890.0521,46.31,61.36,0.84
301196.8188,950890.0521,46.31,60.87,0.84
278196.8188,944890.0521,47.86,61.09,0.83
279196.8188,944890.0521,46.51,61.09,0.86
281196.8188,944890.0521,46.51,60.87,0.86
256196.8188,938890.0521,46.22,60.64,1.43
257196.8188,938890.0521,46.60,60.64,1.09
258196.8188,938890.0521,46.60,61.09,1.09
234196.8188,932890.0521,48.27,59.07,1.44
235196.8188,932890.0521,47.14,60.64,1.67
232196.8188,931890.0521,47.14,59.07,1.67
134196.8188,930890.0521,49.24,59.70,1.14
135196.8188,930890.0521,48.81,-9999.00,1.55
131196.8188,929890.0521,48.81,59.70,1.55
309196.8188,927890.0521,46.31,61.20,0.84
310196.8188,927890.0521,47.62,61.20,0.78
